timestamp_msk,amount,currency
2026-05-04T02:05:55.783276+03:00,71015.26,RUB
2026-05-04T03:05:35.960521+03:00,71015.26,RUB
2026-05-04T07:11:38.835457+03:00,71015.26,RUB
2026-05-04T10:27:16.875933+03:00,71015.26,RUB
2026-05-04T12:38:50.107258+03:00,71015.26,RUB
2026-05-04T14:28:18.083618+03:00,71015.26,RUB
2026-05-04T16:11:55.776044+03:00,71015.26,RUB
2026-05-04T18:25:05.707877+03:00,71015.26,RUB
2026-05-04T20:13:24.832804+03:00,71015.26,RUB
2026-05-04T21:59:10.969536+03:00,71015.26,RUB
2026-05-04T23:24:41.061047+03:00,71015.26,RUB
2026-05-05T00:40:24.059405+03:00,71015.26,RUB
2026-05-05T01:42:10.550551+03:00,71015.26,RUB
2026-05-05T02:39:10.533385+03:00,71015.26,RUB
2026-05-05T04:20:54.669339+03:00,70706.79,RUB
2026-05-05T10:21:40.509139+03:00,70706.79,RUB
2026-05-05T12:29:15.760050+03:00,70706.79,RUB
2026-05-05T14:04:50.042945+03:00,70706.79,RUB
2026-05-05T15:14:17.070890+03:00,70706.79,RUB
2026-05-05T17:29:11.057601+03:00,70706.79,RUB
2026-05-05T19:13:37.996949+03:00,70706.79,RUB
2026-05-05T20:54:44.283624+03:00,70706.79,RUB
2026-05-05T22:44:49.201214+03:00,70706.79,RUB
2026-05-05T23:46:43.380104+03:00,70706.79,RUB
2026-05-06T01:06:36.856367+03:00,70706.79,RUB
2026-05-06T02:13:23.523113+03:00,70706.79,RUB
2026-05-06T03:08:10.114590+03:00,70706.79,RUB
2026-05-06T07:07:50.868060+03:00,70774.51,RUB
2026-05-06T09:46:29.104885+03:00,70774.51,RUB
2026-05-06T12:31:12.667857+03:00,70774.51,RUB
2026-05-06T14:31:05.653561+03:00,70774.51,RUB
2026-05-06T16:20:32.416425+03:00,70774.51,RUB
2026-05-06T18:42:35.417666+03:00,64509.44,RUB
2026-05-06T20:16:45.477876+03:00,64509.44,RUB
2026-05-06T22:11:43.799174+03:00,64509.44,RUB
2026-05-06T23:52:10.469409+03:00,63412.59,RUB
2026-05-07T01:03:15.951770+03:00,63412.59,RUB
2026-05-07T02:08:06.137997+03:00,63412.59,RUB
2026-05-07T03:07:50.500658+03:00,63412.59,RUB
2026-05-07T07:07:25.838894+03:00,63210.36,RUB
2026-05-07T10:20:13.921412+03:00,63210.36,RUB
2026-05-07T13:01:45.226356+03:00,63210.36,RUB
2026-05-07T15:13:09.251473+03:00,63210.36,RUB
2026-05-07T18:07:26.543180+03:00,61753.17,RUB
2026-05-07T20:05:51.202188+03:00,61753.17,RUB
2026-05-07T22:01:27.457835+03:00,61753.17,RUB
2026-05-07T23:40:15.568583+03:00,61753.17,RUB
2026-05-08T00:40:11.600532+03:00,61753.17,RUB
2026-05-08T01:44:33.600063+03:00,61753.17,RUB
2026-05-08T02:39:02.816093+03:00,61753.17,RUB
2026-05-08T04:27:31.234600+03:00,61628.04,RUB
2026-05-08T07:42:11.822053+03:00,61628.04,RUB
2026-05-08T09:23:38.006570+03:00,61628.04,RUB
2026-05-08T11:11:13.081741+03:00,60537.84,RUB
2026-05-08T12:57:10.447664+03:00,60537.84,RUB
2026-05-08T14:26:30.577828+03:00,60537.84,RUB
2026-05-08T15:55:50.605604+03:00,60537.84,RUB
2026-05-08T17:59:13.948435+03:00,60537.84,RUB
2026-05-08T19:25:26.948583+03:00,60537.84,RUB
2026-05-08T20:53:43.182864+03:00,60537.84,RUB
2026-05-08T22:39:16.912548+03:00,60537.84,RUB
2026-05-08T23:41:19.898000+03:00,60537.84,RUB
2026-05-09T00:43:41.252943+03:00,60537.84,RUB
2026-05-09T01:41:02.815168+03:00,60537.84,RUB
2026-05-09T02:40:46.367013+03:00,60997.14,RUB
2026-05-09T04:24:47.995824+03:00,60997.14,RUB
2026-05-09T07:53:00.256135+03:00,60997.14,RUB
2026-05-09T10:13:24.072907+03:00,60997.14,RUB
2026-05-09T11:54:33.446204+03:00,62043.76,RUB
2026-05-09T13:12:45.334411+03:00,62043.76,RUB
2026-05-09T14:13:32.596304+03:00,62043.76,RUB
2026-05-09T15:04:52.461539+03:00,62043.76,RUB
2026-05-09T16:54:51.929933+03:00,62043.76,RUB
2026-05-09T17:59:27.273231+03:00,62043.76,RUB
2026-05-09T19:02:35.946173+03:00,62043.76,RUB
2026-05-09T20:14:14.318939+03:00,62043.76,RUB
2026-05-09T21:08:54.543748+03:00,62043.76,RUB
2026-05-09T22:35:36.201399+03:00,62043.76,RUB
